Year,0-14 years old,15-24 years old,25-44 years old,45-64 years old,65 and over
2013,993909,563278,1421081,1067215,569186
2014,997516,567222,1407323,1083895,589484
2015,1001705,571610,1400611,1103591,610270
2016,1005484,574697,1401520,1128049,629847
2017,1010356,587014,1403256,1157861,652408
2018,1014430,609252,1402768,1182019,676427
2019,1015539,623805,1406012,1211743,701372
2020,1013651,637923,1412015,1240171,726115
2021,1007602,640355,1411903,1267359,747449
2022,1014292,649717,1434196,1304462,781299
2023,1011639,667215,1457723,1338739,806296
